,0010011000,0100100010,0101000010,0101000101,0101001001,0101001100,0101111100,0110011001,1000010010,1001000101,1001100010,1001110101,1001111100,1100111111,1110010010,1111111111
0010011000,284,0,0,0,0,0,0,19,187,0,0,0,0,0,10,0
0100100010,27,294,13,0,0,0,0,33,53,0,80,0,0,0,0,0
0101000010,16,195,138,28,0,0,0,10,58,0,44,0,0,0,11,0
0101000101,11,86,86,119,12,13,0,28,125,9,11,0,0,0,0,0
0101001001,11,41,85,33,21,12,0,40,257,0,0,0,0,0,0,0
0101001100,82,73,109,46,14,0,35,0,141,0,0,0,0,0,0,0
0101111100,38,216,0,0,0,10,48,84,87,0,10,0,7,0,0,0
0110011001,78,40,0,0,18,0,0,144,186,0,0,0,0,0,34,0
1000010010,30,73,0,0,0,0,0,0,355,0,34,0,0,0,8,0
1001000101,12,15,19,108,0,0,0,0,224,12,101,9,0,0,0,0
1001100010,0,78,8,0,0,0,0,28,99,0,287,0,0,0,0,0
1001110101,0,60,0,11,0,0,0,100,162,22,108,23,14,0,0,0
1001111100,32,33,0,0,0,0,51,56,218,0,71,39,0,0,0,0
1100111111,10,175,0,0,0,0,13,9,229,0,16,17,0,0,23,8
1110010010,105,140,8,0,0,0,0,20,92,0,14,0,0,0,121,0
1111111111,3,90,14,13,0,0,15,110,78,0,54,22,0,11,90,0
