,0000010000,0000100110,0000111000,0000111110,0001110000,0001111101,0010011101,0011010111,0011011011,0011100000,0011100110,0100010011,0100111011,0101010110,0101100101,0101101000,0110000000,0110100011,0110101111,0110110101,0111000100,0111011010,1000010011,1000011101,1001000010,1001101100,1001110011,1010000010,1010110010,1011011001,1011100001,1100000010,1100100110,1101001001,1101001111,1101110001,1101111100,1101111111,1110001011,1110001110,1110010000,1110011101,1110101010,1110110110,1111001101,1111011000,1111110111
0000010000,102,0,5,0,8,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,45,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
0000100110,61,37,9,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,87,0,24,0,6,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111000,65,0,83,4,5,4,32,0,0,0,0,0,9,0,0,2,0,0,0,0,13,0,21,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
0000111110,21,23,50,51,0,7,37,0,0,0,0,0,2,0,0,0,0,0,0,0,45,0,2,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001110000,56,3,28,0,16,14,5,0,0,4,0,0,0,4,0,4,0,0,0,0,44,0,51,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0
0001111101,0,0,19,5,0,23,86,0,0,0,0,0,0,0,0,4,0,0,0,9,70,0,21,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
0010011101,7,0,5,3,0,7,120,5,10,0,0,0,0,0,0,0,0,0,0,7,37,0,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0
0011010111,18,0,0,6,9,11,65,18,3,0,34,0,0,31,0,0,0,4,0,0,34,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011011011,47,0,16,6,6,0,68,20,10,0,0,4,4,0,0,0,0,0,0,0,20,4,21,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
0011100000,22,0,10,0,14,0,0,0,0,60,2,0,0,0,0,22,6,0,0,0,31,0,67,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
0011100110,16,38,0,7,4,0,7,0,0,50,43,0,0,2,0,8,0,0,0,0,45,0,0,0,9,0,0,0,2,0,0,0,11,0,0,0,0,0,0,6,2,0,0,0,0,0,0
0100010011,65,0,0,0,0,0,13,9,0,0,0,27,5,10,0,0,6,7,0,6,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0
0100111011,36,0,41,4,0,0,48,0,0,0,0,22,28,0,0,3,0,10,0,0,0,0,16,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
0101010110,30,12,0,21,0,0,5,8,0,0,6,8,0,48,0,11,0,0,0,0,73,0,0,0,14,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
0101100101,0,0,0,0,0,18,0,0,0,16,6,6,0,8,3,23,0,0,0,24,119,0,20,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
0101101000,5,0,32,0,1,6,7,0,0,9,0,0,6,0,0,57,0,0,0,0,63,0,35,0,0,6,0,0,5,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0
0110000000,45,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,34,0,0,0,70,0,55,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,16,0,10,0,0,0,0,0,0
0110100011,26,12,6,0,0,0,7,0,0,15,3,17,5,0,0,17,15,13,6,8,6,0,39,0,0,0,0,0,6,0,0,4,0,2,0,0,0,0,37,0,6,0,0,0,0,0,0
0110101111,0,30,9,8,0,0,53,0,0,0,5,0,7,0,0,17,0,8,13,7,50,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,0
0110110101,9,11,8,0,0,19,37,0,0,0,0,7,0,2,4,0,7,21,0,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,34,16,0,0,0,0,0
0111000100,10,0,0,0,0,0,5,0,0,13,18,0,0,12,4,11,16,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0
0111011010,64,0,3,22,0,0,11,19,19,0,0,8,13,18,0,18,2,0,0,0,11,7,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0
1000010011,66,0,6,0,0,0,2,8,0,0,0,14,0,8,0,0,0,0,0,0,0,0,105,13,6,0,8,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
1000011101,9,0,9,11,0,5,87,0,0,0,0,0,0,0,0,0,0,0,0,2,33,0,44,27,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0
1001000010,53,0,0,0,0,0,0,11,0,5,7,0,0,4,0,5,0,0,0,0,62,0,56,0,28,0,4,5,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1001101100,0,5,22,6,0,21,0,0,0,5,0,0,0,0,0,27,0,0,0,0,92,0,12,0,12,21,0,0,0,0,0,0,0,21,0,0,4,0,0,2,0,0,0,0,0,0,0
1001110011,32,0,10,0,18,7,12,9,0,0,0,16,0,7,0,5,0,0,0,0,0,0,81,0,24,0,21,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
1010000010,88,0,0,0,0,0,7,5,0,4,4,0,0,0,0,0,8,0,0,0,31,0,56,0,5,0,0,5,9,0,0,7,3,0,0,0,0,0,14,4,0,0,0,0,0,0,0
