,Fitness,Location,Maxima
0000000000,0.628668683788,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.629547450169,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.653333754228,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.626113876095,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.445731541628,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.477640581481,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.620335674008,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.612916442985,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.650313158569,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.691895371894,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",1
0000001010,0.568441752764,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.537116792797,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.481757094343,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.539955978052,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.525205236013,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.564752710078,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.610436426862,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.611315193243,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.506034667186,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.478814789053,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.438058779012,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.469967818864,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.518444901768,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.511025670745,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.596769246734,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.638351460059,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.576471279782,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.545146319815,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.462865469937,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.521064353646,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.532126326362,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.571673800427,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.429463544753,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.430342311134,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.454128615194,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.426908737061,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,0.364738100431,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,0.396647140283,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.53934223281,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,0.531923001787,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.618178615047,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.659760828372,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.536307209242,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,0.504982249275,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.378216074856,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,0.436414958565,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,0.421664216526,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,0.461211690591,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
0000110000,0.683038564639,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
0000110001,0.68391733102,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",1
0000110010,0.578636804963,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",0
0000110011,0.55141692683,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",0
0000110100,0.469749346277,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",0
0000110101,0.501658386129,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 1)",0
0000110110,0.550135469033,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 0)",0
0000110111,0.54271623801,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 1)",0
0000111000,0.591763953637,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 0)",0
0000111001,0.633346166961,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 1)",0
0000111010,0.571465986684,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 0)",0
0000111011,0.540141026717,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 1)",0
0000111100,0.470480143927,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 0)",0
0000111101,0.528679027636,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 1)",0
0000111110,0.539741000353,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 0)",0
0000111111,0.579288474418,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 1)",1
