,0001110001,0001111011,0011011100,0011110010,0110101011,0111011011,1010100110,1101001110,1101110110
0001110001,373,90,0,0,17,0,10,0,10
0001111011,214,105,0,7,150,0,0,0,24
0011011100,38,172,39,0,33,0,184,18,16
0011110010,190,47,0,43,25,0,173,0,22
0110101011,8,11,0,0,367,0,114,0,0
0111011011,46,204,0,7,150,24,49,0,20
1010100110,19,0,0,0,9,0,379,39,54
1101001110,0,58,0,0,30,0,65,276,71
1101110110,95,0,0,5,0,0,42,45,313
