,0000000000,0000010101,0000011010,0000101000,0000101011,0000101101,0001001000,0001001101,0001010000,0001010110,0001101111,0010011111,0010100000,0010110001,0010110010,0011000101,0011100100,0100000101,0100001000,0100001110,0100101100,0100110001,0100111111,0101000001,0101000111,0101010011,0101011010,0101011101,0101111000,0110000000,0110001001,0110010111,0110011100,0110101011,0111001011,0111001100,0111011000,0111101111,0111110001,1000000110,1000001111,1000010000,1000010011,1000011101,1000100001,1000111100,1001000100,1001000111,1001001110,1001010001,1001011000,1001110111,1001111101,1001111110,1010001001,1010001100,1010010111,1010100011,1010100100,1010111010,1010111111,1011000001,1011001111,1011010000,1011011001,1011100111,1011101100,1100100011,1100100101,1100101111,1100110000,1100111010,1101000011,1101001001,1101100000,1101100110,1101110101,1101111011,1101111100,1110000100,1110010000,1110011010,1110100001,1111000111,1111010011,1111010100,1111101000
0000000000,126,0,5,6,0,0,6,0,16,0,0,0,3,5,0,0,7,2,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,10,0,6,0,8,0,0,0,0,0,0,0,0,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010101,69,49,2,0,0,9,0,0,3,0,0,0,0,16,0,0,7,9,0,0,0,0,0,0,0,0,0,4,0,0,0,16,5,0,0,0,0,0,0,8,0,0,24,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000011010,43,0,119,4,8,0,6,0,2,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,19,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000101000,41,0,30,26,17,6,7,0,8,0,2,0,9,0,0,0,13,0,6,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
0000101011,48,0,15,40,42,8,0,0,0,0,8,5,0,10,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000101101,19,10,7,7,30,33,0,3,0,0,11,0,0,5,0,0,19,6,0,0,6,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,7,0,4,0,6,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001001000,70,0,40,7,7,0,18,3,6,0,5,1,0,0,0,0,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,7,0,5,0,5,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12
0001001101,33,3,6,0,18,15,15,4,0,0,10,18,0,0,0,7,20,8,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
0001010000,63,3,37,0,8,0,7,0,31,8,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,7,0,0,4,7,0,0,0,0,8,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0001010110,29,8,26,0,0,0,0,0,12,23,21,6,0,0,0,0,41,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,29,0,0,0,0,4,0,0,0,0,0,0,0,3,0,16,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
0001101111,5,0,0,10,50,17,0,8,0,0,53,16,0,12,0,6,14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010011111,5,4,30,0,4,7,0,0,0,0,4,56,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,10,0,0,0,0,0,0,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,30,8,19,0,0,3,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010100000,44,0,0,39,6,0,0,0,0,0,0,0,10,30,6,0,19,0,0,0,8,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,32,9,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0010110001,23,10,9,6,16,4,0,0,0,0,0,6,28,74,3,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,6,0,0,0,13,0,6,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010110010,11,0,18,9,0,0,0,0,0,0,18,11,15,39,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011000101,47,28,0,0,9,5,0,9,0,0,7,10,0,10,0,13,38,15,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,5,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011100100,29,4,0,5,11,7,0,0,0,0,9,0,9,11,0,6,83,0,0,0,13,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,4,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0
