,0011110111,0011111011,0101100101,0101111010,0110100100,0110111010,0111000100,1001100101,1001111011,1010100101,1010111011
0011110111,163,35,11,0,0,0,0,39,0,252,0
0011111011,73,304,0,10,0,0,0,0,13,95,5
0101100101,72,0,183,15,0,0,0,37,0,193,0
0101111010,33,113,117,84,0,135,0,0,7,11,0
0110100100,0,0,159,0,159,20,7,0,0,155,0
0110111010,0,126,21,43,51,200,0,0,0,48,11
0111000100,49,0,122,0,81,25,68,9,0,146,0
1001100101,28,0,51,0,0,0,0,277,13,131,0
1001111011,72,157,0,22,0,0,0,131,108,0,10
1010100101,0,0,0,0,10,0,0,136,0,342,12
1010111011,20,169,0,0,0,19,0,11,69,137,75
